article,is_tk,is_han,name_id,is_engi
李粛_(孫呉),TRUE,FALSE,李粛,FALSE
チ慮,TRUE,TRUE,郗慮,FALSE
伏寿,TRUE,FALSE,伏壽,FALSE
鄭小同,TRUE,FALSE,鄭小同,FALSE
李遺,TRUE,FALSE,李遺,FALSE
杜氏_(三国時代),TRUE,FALSE,杜氏,FALSE
樊氏,TRUE,FALSE,樊氏,FALSE
関エツ,TRUE,FALSE,関樾,FALSE
宋建,TRUE,TRUE,宋建,FALSE
金イ,TRUE,FALSE,金禕,FALSE
朱皓,TRUE,TRUE,朱皓,FALSE
虞忠,TRUE,FALSE,虞忠,FALSE
諸葛融,TRUE,FALSE,諸葛融,FALSE
陶コウ,TRUE,FALSE,陶璜,FALSE
劉惇,TRUE,TRUE,劉惇,FALSE
劉茂_(楽浪太守),TRUE,FALSE,劉茂,FALSE
呉範,TRUE,TRUE,呉範,FALSE
孫松,TRUE,FALSE,孫松,FALSE
孫楷,TRUE,FALSE,孫楷,FALSE
孫鄰,TRUE,FALSE,孫鄰,FALSE
滕脩,TRUE,FALSE,滕脩,FALSE
留平,TRUE,FALSE,留平,FALSE
薛ク,TRUE,FALSE,薛珝,FALSE
衛温,TRUE,FALSE,衛温,FALSE
諸葛攀,TRUE,FALSE,諸葛攀,FALSE
キ艶,TRUE,FALSE,曁艶,FALSE
劉纂,TRUE,FALSE,劉纂,FALSE
厳武_(三国),TRUE,FALSE,厳武,FALSE
呉夫人,TRUE,FALSE,呉夫人,FALSE
大懿皇后,TRUE,FALSE,大懿皇后,FALSE
徐夫人,TRUE,FALSE,徐夫人,FALSE
敬懐皇后,TRUE,FALSE,敬懐皇后,FALSE
是儀,TRUE,TRUE,是儀,FALSE
曹不興,TRUE,FALSE,曹不興,FALSE
歩練師,TRUE,FALSE,歩練師,FALSE
滕牧,TRUE,FALSE,滕牧,FALSE
謝夫人,TRUE,FALSE,謝夫人,FALSE
謝承,TRUE,FALSE,謝承,FALSE
趙達,TRUE,TRUE,趙達,FALSE
李朝_(蜀),TRUE,FALSE,李朝,FALSE
明悼皇后毛氏,TRUE,FALSE,毛皇后,FALSE
献穆曹皇后,TRUE,FALSE,献穆皇后,FALSE
曹安民,TRUE,FALSE,曹安民,FALSE
曹殷,TRUE,FALSE,曹殷,FALSE
諸葛喬,TRUE,FALSE,諸葛喬,FALSE
黄夫人,TRUE,FALSE,黄夫人,FALSE
丁儀,TRUE,FALSE,丁儀,FALSE
侯選,TRUE,FALSE,侯選,FALSE
劉岱_(東莱),TRUE,FALSE,劉岱,FALSE
審栄,TRUE,FALSE,審栄,FALSE
張藐,TRUE,FALSE,張藐,FALSE
曹遵,TRUE,FALSE,曹遵,FALSE
柳隠,TRUE,FALSE,柳隠,FALSE
段黙,TRUE,FALSE,段黙,FALSE
王子服,TRUE,FALSE,王子服,FALSE
程銀,TRUE,FALSE,程銀,FALSE
裴秀,TRUE,FALSE,裴秀,FALSE
郭奕_(頴川),TRUE,FALSE,郭奕,FALSE
雍茂,TRUE,FALSE,雍茂,FALSE
馬元義,TRUE,TRUE,馬元義,FALSE
馬玩,TRUE,FALSE,馬玩,FALSE
伍習,TRUE,FALSE,伍習,FALSE
孫英,TRUE,FALSE,孫英,FALSE
張著,TRUE,FALSE,張著,FALSE
李勝,TRUE,FALSE,李勝,FALSE
胡烈,TRUE,FALSE,胡烈,FALSE
董衡,TRUE,FALSE,董衡,FALSE
董超,TRUE,FALSE,董超,FALSE
費耀,TRUE,FALSE,費耀,FALSE
劉義遜,TRUE,FALSE,劉義遜,FALSE
国淵,TRUE,FALSE,国淵,FALSE
